Datetime;Resolution code;Quarter hour;Quality status;ACE;System imbalance;Alpha;Alpha';Marginal incremental price;Marginal decremental price;Imbalance Price
2025-04-08T08:21:00+02:00;PT1M;2025-04-08T08:15:00+02:00;DataIssue;0.132;152.667;0.826;0.0;80.567;50.0;49.174
2025-04-08T08:20:00+02:00;PT1M;2025-04-08T08:15:00+02:00;DataIssue;-0.482;155.766;0.845;0.0;81.428;50.0;49.155
2025-04-08T08:19:00+02:00;PT1M;2025-04-08T08:15:00+02:00;DataIssue;-0.429;155.806;0.846;0.0;82.45;50.0;49.154
2025-04-08T08:18:00+02:00;PT1M;2025-04-08T08:15:00+02:00;DataIssue;-0.278;163.454;0.897;0.0;80.0;50.0;49.103
2025-04-08T08:17:00+02:00;PT1M;2025-04-08T08:15:00+02:00;DataIssue;-0.154;182.47;1.037;0.0;80.0;50.0;48.963
2025-04-08T08:16:00+02:00;PT1M;2025-04-08T08:15:00+02:00;DataIssue;-0.076;205.305;1.235;0.0;80.0;50.0;48.765
2025-04-08T08:15:00+02:00;PT1M;2025-04-08T08:15:00+02:00;DataIssue;-0.058;274.964;1.62;0.0;82.729;50.0;48.38
2025-04-08T08:14:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;3.211;-34.179;0.0;0.0;210.562;55.0;210.562
2025-04-08T08:13:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;3.438;-53.662;0.0;0.0;218.466;55.0;218.466
2025-04-08T08:12:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;3.539;-72.047;0.0;0.0;223.148;55.0;223.148
2025-04-08T08:11:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;2.693;-94.418;0.0;0.0;223.227;55.0;223.227
2025-04-08T08:10:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;-0.972;-121.367;0.0;0.0;224.103;55.0;224.103
2025-04-08T08:09:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;-8.401;-149.343;0.0;0.0;229.698;55.0;229.698
2025-04-08T08:08:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;-21.848;-176.849;1.548;0.0;234.62;55.0;236.168
2025-04-08T08:07:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;-37.392;-182.828;1.519;0.0;244.977;55.0;246.496
2025-04-08T08:06:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;-57.124;-182.879;1.406;0.0;256.565;55.0;257.971
2025-04-08T08:05:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;-67.373;-171.21;1.311;0.0;253.872;55.0;255.183
2025-04-08T08:04:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;-76.368;-154.554;1.208;0.0;247.089;55.0;248.297
2025-04-08T08:03:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;-77.218;-137.501;0.0;0.0;237.133;55.0;237.133
2025-04-08T08:02:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;-69.292;-126.48;;0.0;;55.0;
2025-04-08T08:01:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;-35.018;-84.128;0.0;0.0;167.995;55.0;167.995
2025-04-08T08:00:00+02:00;PT1M;2025-04-08T08:00:00+02:00;DataIssue;-3.525;-29.045;0.0;0.0;82.948;55.0;82.948
2025-04-08T07:59:00+02:00;PT1M;2025-04-08T07:45:00+02:00;DataIssue;0.735;117.146;0.0;0.0;143.7;52.2;52.2
2025-04-08T07:58:00+02:00;PT1M;2025-04-08T07:45:00+02:00;DataIssue;0.62;125.032;0.0;0.0;143.7;52.14;52.14
2025-04-08T07:57:00+02:00;PT1M;2025-04-08T07:45:00+02:00;DataIssue;-0.763;131.206;0.0;0.0;143.7;52.068;52.068
2025-04-08T07:56:00+02:00;PT1M;2025-04-08T07:45:00+02:00;DataIssue;-0.766;141.669;0.0;0.0;143.7;51.658;51.658
2025-04-08T07:55:00+02:00;PT1M;2025-04-08T07:45:00+02:00;DataIssue;-0.248;154.23;1.234;0.0;143.7;51.24;50.006
